generation,individual_id,seed_value,raw_reward,shared_fitness
1,0,2106,-1185.6595208176352,0.046944664575797435
1,0,2039,-970.2300222016531,0.046944664575797435
1,0,2028,-1053.0550326548077,0.046944664575797435
1,0,2119,-1518.7418532966503,0.046944664575797435
1,0,2060,-1816.9510866846645,0.046944664575797435
1,1,2106,-1039.3806514119442,0.05961664067028718
1,1,2039,-955.3408051691102,0.05961664067028718
1,1,2028,-958.5334083990633,0.05961664067028718
1,1,2119,-1551.878970753682,0.05961664067028718
1,1,2060,-1785.0443702890393,0.05961664067028718
1,2,2106,-1261.3716733456683,0.0381398959593393
1,2,2039,-966.9609367225592,0.0381398959593393
1,2,2028,-1252.837411737235,0.0381398959593393
1,2,2119,-1480.758948372378,0.0381398959593393
1,2,2060,-1836.960749309765,0.0381398959593393
1,3,2106,-1232.1299797071038,0.039037501017194706
1,3,2039,-966.4847941455038,0.039037501017194706
1,3,2028,-1220.6591559768292,0.039037501017194706
1,3,2119,-1484.3257406503674,0.039037501017194706
1,3,2060,-1836.29699069419,0.039037501017194706
1,4,2106,-1203.0974775588593,0.04240293085143934
1,4,2039,-970.6078655510389,0.04240293085143934
1,4,2028,-1170.8342353423584,0.04240293085143934
1,4,2119,-1510.43145650542,0.04240293085143934
1,4,2060,-1826.3944813808378,0.04240293085143934
1,5,2106,-1185.5607424921204,0.0437434707336647
1,5,2039,-969.8544282442061,0.0437434707336647
1,5,2028,-1074.732371254174,0.0437434707336647
1,5,2119,-1512.5117318501154,0.0437434707336647
1,5,2060,-1826.518642428415,0.0437434707336647
1,6,2106,-829.354658408022,0.06378909388368764
1,6,2039,-958.2095195533291,0.06378909388368764
1,6,2028,-971.6186857863476,0.06378909388368764
1,6,2119,-1563.713343357739,0.06378909388368764
1,6,2060,-1778.977182909854,0.06378909388368764
1,7,2106,-1051.375668557746,0.04840662392916353
1,7,2039,-983.6499281078135,0.04840662392916353
1,7,2028,-965.0577827598536,0.04840662392916353
1,7,2119,-1555.6254416578504,0.04840662392916353
1,7,2060,-1817.1648222671993,0.04840662392916353
1,8,2106,-1260.9224882431654,0.038361770299600306
1,8,2039,-970.1323681976564,0.038361770299600306
1,8,2028,-1240.7743399585531,0.038361770299600306
1,8,2119,-1489.9877828863732,0.038361770299600306
1,8,2060,-1835.746738317704,0.038361770299600306
1,9,2106,-1280.9152861149937,0.03915028708466385
1,9,2039,-964.00083542025,0.03915028708466385
1,9,2028,-1270.9872750277855,0.03915028708466385
1,9,2119,-1471.2844866059759,0.03915028708466385
1,9,2060,-1833.4299659583385,0.03915028708466385
1,10,2106,-751.4039725929995,0.05939180428059906
1,10,2039,-962.5257979201547,0.05939180428059906
1,10,2028,-972.1332430778166,0.05939180428059906
1,10,2119,-1559.9881320704421,0.05939180428059906
1,10,2060,-1795.7231410573338,0.05939180428059906
1,11,2106,-748.4802756801371,0.05867412111181224
1,11,2039,-955.39970529064,0.05867412111181224
1,11,2028,-972.8733829433637,0.05867412111181224
1,11,2119,-1551.9782270764274,0.05867412111181224
1,11,2060,-1799.0397531691005,0.05867412111181224
1,12,2106,-866.2702463722151,0.05577298258276143
1,12,2039,-971.1906574851984,0.05577298258276143
1,12,2028,-971.8333247193914,0.05577298258276143
1,12,2119,-1560.0776519487356,0.05577298258276143
1,12,2060,-1801.8543859457243,0.05577298258276143
1,13,2106,-1208.0368183091475,0.0435073572704651
1,13,2039,-970.0398942166629,0.0435073572704651
1,13,2028,-1194.1736812016861,0.0435073572704651
1,13,2119,-1499.7544388342906,0.0435073572704651
1,13,2060,-1822.9979868108617,0.0435073572704651
1,14,2106,-1364.6484154067246,0.03635889814884974
1,14,2039,-965.2592377230268,0.03635889814884974
1,14,2028,-1358.9550906699649,0.03635889814884974
1,14,2119,-1467.621896348098,0.03635889814884974
1,14,2060,-1835.5259339522056,0.03635889814884974
1,15,2106,-1333.6938654228895,0.03644561836171944
1,15,2039,-970.543299873999,0.03644561836171944
1,15,2028,-1322.0980548752432,0.03644561836171944
1,15,2119,-1475.1085468001052,0.03644561836171944
1,15,2060,-1836.9981599984062,0.03644561836171944
1,16,2106,-1207.1724613563954,0.04378674781879788
1,16,2039,-968.2980911325977,0.04378674781879788
1,16,2028,-1194.1163106373535,0.04378674781879788
1,16,2119,-1502.1036072215488,0.04378674781879788
1,16,2060,-1822.0125662788212,0.04378674781879788
1,17,2106,-1040.3733075912282,0.05666590546365469
1,17,2039,-967.7358343158015,0.05666590546365469
1,17,2028,-957.8743147027823,0.05666590546365469
1,17,2119,-1550.043834142904,0.05666590546365469
1,17,2060,-1793.7808739225643,0.05666590546365469
1,18,2106,-1184.714169588489,0.045812721679625475
1,18,2039,-971.8352200017779,0.045812721679625475
1,18,2028,-1061.944502064688,0.045812721679625475
1,18,2119,-1537.5117088746272,0.045812721679625475
1,18,2060,-1818.2024900755337,0.045812721679625475
1,19,2106,-1138.984212327985,0.05129247868665861
