gen,best_fitness,max_raw_reward,avg_raw_reward
1,0.09290861671590783,-1217.3392055146153,-1499.2260511385584
2,0.11560164525720495,-848.5330911106114,-1353.6712915996704
3,0.09498174622157772,-990.4612981780576,-1454.9003127069145
4,0.1215915739106354,-837.0698252963117,-1446.2223780532836
5,0.1355813230996292,-706.6433204849113,-1346.0414961999659
6,0.12153666929431678,-728.3843036177243,-1367.959614403131
7,0.11016981861797434,-814.4681796337187,-1426.0865029232577
8,0.12274699661710294,-791.0484132060626,-1395.1033088575919
9,0.10941902486906155,-788.2683538086567,-1379.133053783922
10,0.11083531648058008,-726.3968504497903,-1397.2980572656325
11,0.11759185440547822,-674.2411724124829,-1371.5403469827456
12,0.1661499023695867,-621.5028867033985,-1393.6432314370481
13,0.12970269258556727,-712.9497276615831,-1417.253909306903
14,0.12633627572534153,-690.7900201452701,-1400.9134031480016
15,0.14125132163604104,-631.2119489805359,-1394.6076637019412
16,0.12259654088079056,-679.297474218987,-1379.605438117653
17,0.12299261678135918,-686.4960376941823,-1397.1195352039424
18,0.11267481062199591,-731.0248002574721,-1384.0895117459406
19,0.11109057901765339,-754.4567075280866,-1384.2318066610599
20,0.09720343786302627,-871.1875082641889,-1397.9234393835222
21,0.1184344527014803,-727.2075595993329,-1386.1781019611028
22,0.1150351677941308,-716.2757176258452,-1370.3812587288162
23,0.11302967844559902,-795.30585841467,-1387.959650564823
24,0.10465305883493295,-762.8056326022853,-1343.0284172359543
25,0.1055840915314436,-776.4026211031279,-1364.9565766869644
26,0.11541861594831153,-775.6179079616134,-1356.2731689912953
27,0.09967719874062111,-780.3873245770725,-1338.0723577003353
28,0.12473489119986048,-705.6131713246874,-1314.0183670783456
29,0.1129638525286411,-744.3605269805719,-1270.742801400835
30,0.1041955895351121,-733.437709146542,-1315.6494816653224
31,0.11957777693677238,-716.1186412488489,-1285.7389301474404
32,0.0982806792117723,-752.6938863424126,-1304.5473106022314
33,0.1449646786643533,-553.9531699778627,-1276.5350699582398
34,0.10069485979573618,-738.4902671955335,-1311.0190976091558
35,0.11626208515788303,-667.0539356186853,-1221.30890363412
36,0.13153678946131078,-644.0861278636064,-1226.3360768258317
37,0.1072160616109766,-640.1875254343148,-1165.9720920287064
38,0.09835996838262748,-653.0533840670912,-1226.157163946294
39,0.1189345343623322,-643.5250272980818,-1192.5781364843829
40,0.09836156181108631,-629.0599628277159,-1132.0404032530166
41,0.11674097546687262,-512.639467345494,-1148.8103362921145
42,0.1279610117910309,-466.83211829589925,-1167.0720767231874
43,0.11411660707474544,-541.8744186388315,-1148.0548316613383
