epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2169,1.05712,1.28799,0.572,0.90569,1.1313,0.99893,1,0.995,0.89945,0.99893,1,0.995,0.95839,0.47739,0.38504,0.23494,0.86832,0.65121,0.000662722,0.000662722,0.000662722
2,65.6783,0.77227,0.29382,0.36079,0.61525,1.0005,0.99965,1,0.995,0.90668,0.99965,1,0.995,0.995,0.48192,0.21746,0.05868,0.43031,0.67531,0.00130307,0.00130307,0.00130307
3,93.6181,0.73779,0.23948,0.2191,0.57132,0.98657,0.96086,1,0.99407,0.91515,0.96086,1,0.99407,0.98946,0.48736,0.2414,0.0179,0.42741,0.69964,0.00191701,0.00191701,0.00191701
4,122.215,0.68202,0.1664,0.13786,0.53222,0.97391,0.99957,1,0.995,0.90761,0.99957,1,0.995,0.995,0.47108,0.10463,0.02562,0.40868,0.7395,0.0018812,0.0018812,0.0018812
5,149.586,0.63073,0.13909,0.10501,0.49755,0.95578,0.99696,1,0.995,0.9368,0.99696,1,0.995,0.995,0.36747,0.08046,0.01257,0.36805,0.6772,0.0018416,0.0018416,0.0018416
6,178.032,0.57948,0.10928,0.06453,0.45996,0.94561,0.99978,1,0.995,0.94848,0.99978,1,0.995,0.995,0.3314,0.05269,0.00667,0.32222,0.70212,0.001802,0.001802,0.001802
7,206.192,0.54873,0.1021,0.06599,0.44084,0.93009,0.99943,1,0.995,0.91791,0.99943,1,0.995,0.995,0.44504,0.06247,0.01622,0.35694,0.75231,0.0017624,0.0017624,0.0017624
8,233.819,0.52726,0.08304,0.05779,0.42799,0.93336,0.99979,1,0.995,0.96721,0.99979,1,0.995,0.995,0.38208,0.06563,0.0084,0.34157,0.68168,0.0017228,0.0017228,0.0017228
9,265.281,0.50241,0.08226,0.05393,0.41369,0.9161,0.99972,1,0.995,0.93165,0.99972,1,0.995,0.995,0.40109,0.11072,0.00539,0.31142,0.66051,0.0016832,0.0016832,0.0016832
10,298.222,0.47461,0.06529,0.04344,0.3944,0.9127,0.99968,1,0.995,0.94895,0.99968,1,0.995,0.995,0.28876,0.0377,0.00603,0.30394,0.7002,0.0016436,0.0016436,0.0016436
